-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,
Dates (month/day/year): 04/16/2026 through 05/12/2026 in LST,,,,
Location: latitude  22.7589   longitude -102.4985 ,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2139.84 meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,
parameter(s): ,,,,
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) ,,,,
-END HEADER-,,,,
YEAR,MO,DY,RH2M,
2026,4,16,23.69,
2026,4,17,28.75,
2026,4,18,29.86,
2026,4,19,61.92,
2026,4,20,54.38,
2026,4,21,46.26,
2026,4,22,38.24,
2026,4,23,32.12,
2026,4,24,23.67,
2026,4,25,22.21,
2026,4,26,21.13,
2026,4,27,22.52,
2026,4,28,20.5,
2026,4,29,22.38,
2026,4,30,17.78,
2026,5,1,26.74,
2026,5,2,31.75,
2026,5,3,35.2,
2026,5,4,19.78,
2026,5,5,17.53,
2026,5,6,18.35,
2026,5,7,22.17,
2026,5,8,24.82,
2026,5,9,24.13,28.57833333
2026,5,10,-999,
2026,5,11,-999,
2026,5,12,-999,
