-BEGIN HEADER-,,,,,
NASA/POWER Source Native Resolution Hourly Data ,,,,,
Dates (month/day/year): 05/12/2026 through 05/13/2026 in LST,,,,,
Location: Latitude  22.7839   Longitude -102.6184 ,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2139.84 meters,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,
Parameter(s): ,,,,,
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,
-END HEADER-,,,,,
YEAR,MO,DY,HR,WS10M,PROM
2026,5,12,0,2.91,
2026,5,12,1,3.3,
2026,5,12,2,3.8,
2026,5,12,3,3.63,
2026,5,12,4,2.79,
2026,5,12,5,1.98,
2026,5,12,6,1.69,
2026,5,12,7,1.71,
2026,5,12,8,1.66,
2026,5,12,9,1.4,
2026,5,12,10,0.76,
2026,5,12,11,0.57,
2026,5,12,12,1.53,
2026,5,12,13,2.39,
2026,5,12,14,2.92,
2026,5,12,15,3.15,
2026,5,12,16,2.98,
2026,5,12,17,2.8,
2026,5,12,18,2.15,
2026,5,12,19,2.49,
2026,5,12,20,2.78,
2026,5,12,21,2.67,
2026,5,12,22,2.33,
2026,5,12,23,2.06,2.352083333
